,title,published_at,view_count,duration
950016115,FNCS C2 S5 Finals!,2021-03-15T04:48:03Z,111804,31m58s
949637886,FNCS C2 S5 Finals!,2021-03-14T21:50:06Z,1041138,6h57m9s
949534780,FNCS C2 S5 Finals!,2021-03-14T20:20:32Z,251889,1h8m27s
949457951,FNCS C2 S5 Finals!,2021-03-14T19:22:45Z,202902,57m37s
949335691,FNCS C2 S5 Finals!,2021-03-14T17:50:15Z,377164,1h32m17s
949265386,FNCS C2 S5 Finals!,2021-03-14T16:50:24Z,8889,27s
948332229,FNCS C2 S5 Finals!,2021-03-13T21:50:03Z,845127,7h30m3s
948006091,FNCS C2 S5 Finals!,2021-03-13T17:50:20Z,735922,3h34m30s
941094883,FNCS Semi-Finals,2021-03-07T22:30:18Z,631097,7h51m17s
940746687,FNCS Semi-Finals,2021-03-07T17:55:26Z,627347,4h25m12s
939754737,FNCS Semi-Finals,2021-03-06T22:00:12Z,655623,7h19m4s
939418439,FNCS Semi-Finals,2021-03-06T17:54:47Z,615596,3h59m34s
932293070,FNCS Qualifier 3,2021-02-28T21:50:12Z,604715,7h29m45s
931985723,FNCS Qualifier 3,2021-02-28T17:50:23Z,708727,3h33m23s
923482722,FNCS Qualifier 2,2021-02-21T21:50:09Z,822549,7h31m57s
923168952,FNCS Qualifier 2,2021-02-21T17:50:14Z,819317,3h34m52s
923164360,FNCS Qualifier 2,2021-02-21T17:46:16Z,9292,2m33s
914361113,FNCS Qualifer 1,2021-02-14T21:50:23Z,671842,7h31m40s
914061508,FNCS Qualifer 1,2021-02-14T17:56:33Z,982413,3h27m1s
845427449,Wakanda Forever!,2020-12-21T20:02:11Z,182251,1m55s
810897281,$1M Super Cup,2020-11-21T17:55:02Z,474812,7h48m25s
788927364,Fortnite Champion Series C2 S4 - Grand Finals,2020-11-01T17:50:18Z,1207544,7h35m11s
787761161,Fortnite Champion Series C2 S4 - Heats,2020-10-31T16:55:11Z,818532,8h13m55s
786606300,Fortnite Champion Series C2 S4 - Heats,2020-10-30T16:57:50Z,579949,7h32m24s
785569223,Fortnite Champion Series C2 S4 - Heats,2020-10-29T16:55:09Z,758067,7h38m49s
781581756,Fortnite Champion Series C2 S4 - Qualifiers,2020-10-25T16:55:14Z,643603,7h30m19s
780496174,Fortnite Champion Series C2 S4 - Qualifiers,2020-10-24T16:55:17Z,648521,7h30m3s
774394483,Fortnite Champion Series C2 S4 - Qualifiers,2020-10-18T16:55:11Z,758110,7h30m3s
773305689,Fortnite Champion Series C2 S4 - Qualifier 1,2020-10-17T16:55:12Z,901803,7h29m55s
767417574,Fortnite Champion Series C2 S4 - Qualifier 1,2020-10-11T16:55:12Z,1170233,7h31m34s
766372591,Fortnite Champion Series C2 S4 - Qualifier 1,2020-10-10T16:55:23Z,1012279,7h34m21s
712166956,Fortnite Champion Series C2 S3 - GRAND FINALS,2020-08-16T17:00:30Z,1436798,7h27m18s
711175179,Fortnite Champion Series C2 S3 - Finals Day 2,2020-08-15T17:00:27Z,896806,7h26m36s
710140833,Fortnite Champion Series C2 S3 - Finals Day 1,2020-08-14T17:00:37Z,980353,7h26m30s
709312389,Nineteen Eighty-Fortnite,2020-08-13T20:18:04Z,1821567,18h52m22s
705427590,The FNCS Chapter 2 Season 3: Qualifiers,2020-08-09T21:00:12Z,523183,4h27m0s
705169897,The FNCS Chapter 2 Season 3: Qualifiers,2020-08-09T16:00:15Z,454539,3h29m43s
704453574,The FNCS Chapter 2 Season 3: Qualifiers,2020-08-08T21:00:13Z,524910,4h26m40s
