,title,published_at,view_count,duration
958822080,(Rebroadcast) LCS Mid-Season Showdown: Cloud9 vs. 100 Thieves,2021-03-22T12:20:12Z,79745,3h47m52s
958048381,LCS Mid-Season Showdown: Cloud9 vs. 100 Thieves,2021-03-21T18:44:53Z,762057,4h27m8s
957667145,(Rebroadcast) LCS Mid-Season Showdown: TSM vs. Team Liquid,2021-03-21T12:20:14Z,128772,5h15m25s
956719042,TSM vs. TL | 2021 Mid-Season Showdown | TSM vs. Team Liquid,2021-03-20T18:40:25Z,1164957,5h56m40s
950192018,(Rebroadcast) Week 6 Day 3 | LCS Spring Split (2021),2021-03-15T12:20:12Z,111912,5h59m16s
949395060,Week 6 Day 3 | LCS Spring Split (2021),2021-03-14T18:36:22Z,909172,6h43m6s
948937066,(Rebroadcast) Week 6 Day 2 | LCS Spring Split (2021),2021-03-14T09:20:12Z,89687,6h7m10s
948144357,Week 6 Day 2 | LCS Spring Split (2021),2021-03-13T19:34:57Z,924600,6h53m23s
947570194,(Rebroadcast) Week 6 Day 1 | LCS Spring Split (2021),2021-03-13T07:55:13Z,112448,7h23m48s
947002281,Week 6 Day 1 | LCS Spring Split (2021),2021-03-12T22:28:39Z,916069,7h18m23s
946940880,Week 6 Day 1 | LCS Spring Split (2021),2021-03-12T21:50:39Z,50799,37m54s
941656240,(Rebroadcast) Week 5 Day 3 | LCS Spring Split (2021),2021-03-08T13:20:13Z,115575,5h56m14s
940875545,Week 5 Day 3 | LCS Spring Split (2021),2021-03-07T19:30:29Z,987606,6h50m40s
940483033,(Rebroadcast) Week 5 Day 2 | LCS Spring Split (2021),2021-03-07T13:15:12Z,139340,5h59m8s
939554670,Week 5 Day 2 | LCS Spring Split (2021),2021-03-06T19:36:06Z,1014664,6h52m18s
939032453,(Rebroadcast) Week 5 Day 1 | LCS Spring Split (2021),2021-03-06T09:50:13Z,72128,5h39m56s
938335207,Week 5 Day 1 | LCS Spring Split (2021),2021-03-05T21:34:10Z,826553,6h25m10s
932904655,(Rebroadcast) Week 4 Day 3 | LCS Spring Split (2021),2021-03-01T13:20:12Z,112294,5h47m42s
932118401,Week 4 Day 3 | LCS Spring Split (2021),2021-02-28T19:30:39Z,947722,6h41m32s
931729818,(Rebroadcast) Week 4 Day 2 | LCS Spring Split (2021),2021-02-28T13:25:11Z,158289,5h48m57s
930774413,Week 4 Day 2 | LCS Spring Split (2021),2021-02-27T19:31:55Z,1024113,6h40m34s
930245172,(Rebroadcast) Week 4 Day 1 | LCS Spring Split (2021),2021-02-27T09:28:10Z,105544,6h2m8s
929549004,Week 4 Day 1 | LCS Spring Split (2021),2021-02-26T21:33:11Z,821691,6h50m21s
924114405,(Rebroadcast) Week 3 Day 3 | LCS Spring Split (2021),2021-02-22T13:20:10Z,137741,6h22m0s
923308076,Week 3 Day 3 | LCS Spring Split (2021),2021-02-21T19:33:13Z,1227582,7h13m12s
922912385,(Rebroadcast) Week 3 Day 2 | LCS Spring Split (2021),2021-02-21T13:20:10Z,160704,5h36m36s
921945658,Week 3 Day 2 | LCS Spring Split (2021),2021-02-20T19:35:15Z,1102071,6h22m43s
921427295,(Rebroadcast) Week 3 Day 1 | LCS Spring Split (2021),2021-02-20T10:10:11Z,107679,5h21m14s
920701599,Week 3 Day 1 | LCS Spring Split (2021),2021-02-19T21:34:50Z,898511,6h9m19s
915019989,(Rebroadcast) Week 2 Day 3 | LCS Spring Split (2021),2021-02-15T13:20:15Z,154640,5h38m59s
914184888,Week 2 Day 3 | LCS Spring Split,2021-02-14T19:30:50Z,1062264,6h33m56s
913797730,(Rebroadcast) Week 2 Day 2 | LCS Spring Split,2021-02-14T13:20:15Z,160298,5h44m22s
912822436,Week 2 Day 2 | LCS Spring Split (2021),2021-02-13T19:33:12Z,1025547,6h33m2s
912289824,(Rebroadcast) Week 2 Day 1 | LCS Spring Split (2021),2021-02-13T10:00:15Z,128824,5h30m10s
911553912,Week 2 Day 1 | LCS Spring Split (2021),2021-02-12T21:31:00Z,964008,6h21m1s
905911274,(Rebroadcast) Week 1 Day 3 | LCS Spring Split,2021-02-08T13:20:15Z,150870,5h30m27s
905153466,Week 1 Day 3 | LCS Spring Split,2021-02-07T19:41:13Z,1069204,6h14m28s
904709429,(Rebroadcast) Week 1 Day 2 | LCS Spring Split,2021-02-07T13:05:16Z,191314,6h12m45s
903713088,Week 1 Day 2 | LCS Spring Split (2021),2021-02-06T19:36:06Z,1173508,7h4m16s
903139796,(Rebroadcast) Week 1 Day 1 | LCS Spring Split (2021),2021-02-06T09:10:15Z,138253,6h21m5s
902422894,(Rebroadcast) LCS Lock In Finals: Team Liquid vs. Cloud9,2021-02-05T21:35:10Z,1165850,7h13m56s
896674059,(Rebroadcast) LCS Lock In Finals: Team Liquid vs. Cloud9,2021-02-01T13:20:15Z,149424,5h10m1s
895815365,LCS Lock In Finals: Team Liquid vs. Cloud9,2021-01-31T19:31:11Z,1549357,6h2m48s
895404568,(Rebroadcast) LCS Lock In Semifinals: Evil Geniuses vs. Team Liquid,2021-01-31T13:20:15Z,179398,4h40m1s
894396533,LCS Lock In Semifinals: Evil Geniuses vs. Team Liquid,2021-01-30T19:33:44Z,1074455,5h29m30s
893853548,(Rebroadcast) LCS Lock In Semifinals: 100 Thieves vs. Cloud9,2021-01-30T10:05:16Z,166406,5h26m2s
893123035,100 vs. C9 | Semifinals | LCS Lock In | 100 Thieves vs. Cloud9 (2021),2021-01-29T21:42:08Z,1286963,6h7m25s
887457916,(Rebroadcast) Knockouts Day 2 | LCS Lock In 2021,2021-01-25T13:20:15Z,170386,4h41m2s
886646714,Quarterfinals Day 2 | LCS Lock In 2021,2021-01-24T19:32:19Z,1048562,5h33m17s
886123015,(Rebroadcast) Knockouts Day 1 | LCS Lock In 2021,2021-01-24T10:00:15Z,137980,5h31m26s
885259454,Quarterfinals Day 1 | LCS Lock In 2021,2021-01-23T19:31:16Z,1525842,6h28m42s
884717463,(Rebroadcast) Groups Day 4 | LCS Lock In 2021,2021-01-23T09:50:16Z,224230,5h39m53s
883985709,Groups Day 4 | LCS Lock In 2021,2021-01-22T21:31:06Z,1311766,6h31m38s
878424731,(Rebroadcast) Groups Day 3 | LCS Lock In 2021,2021-01-18T13:20:16Z,257430,5h39m31s
877593144,Groups Day 3 | LCS Lock In 2021,2021-01-17T19:40:53Z,1581347,6h24m30s
877186762,(Rebroadcast) Groups Day 2 | LCS Lock In 2021,2021-01-17T13:20:16Z,333499,5h46m41s
876216389,Groups Day 2 | LCS Lock In 2021,2021-01-16T19:38:47Z,1809476,6h29m38s
875803778,(Rebroadcast) Groups Day 1 | LCS Lock In 2021,2021-01-16T13:20:16Z,229225,5h50m39s
874964819,Groups Day 1 | LCS Lock In 2021,2021-01-15T21:33:17Z,2338344,6h40m43s
803143861,(REBROADCAST) G2 vs. FNC | Finals | LEC Summer (2020),2020-11-14T20:33:36Z,179406,5h37m56s
733326808,LCS Playoffs Grand Finals: FLY vs. TSM,2020-09-06T18:00:52Z,3317504,9h5m30s
732976573,(REBROADCAST) TL vs. TSM | Semifinals | LCS Summer Split (2020),2020-09-06T08:02:11Z,184857,6h7m50s
732348080,LCS Playoffs Semifinals: TL vs. TSM,2020-09-05T18:38:02Z,2247652,6h57m7s
731587569,2020 Summer Finals Virtual Tailgate Showmatch,2020-09-05T00:01:14Z,193952,2h45m15s
726353772,LCS Playoffs: Team Liquid vs. FlyQuest,2020-08-30T18:31:54Z,1982034,6h52m15s
725327691,LCS Playoffs: C9 vs. TSM,2020-08-29T18:30:52Z,2037365,5h45m58s
719300381,LCS Playoffs: TSM vs. Golden Guardians,2020-08-23T18:31:22Z,2031337,6h22m5s
718601785,LCS Playoffs Evil Geniuses vs. Cloud9,2020-08-23T15:54:21Z,3021,3h46m48s
717428904,LCS Playoffs: Team Liquid vs. Golden Guardians,2020-08-21T22:05:29Z,425491,1h22m44s
