,title,published_at,view_count,duration
543196975,True Sight: The International 2019 Grand Finals,2020-01-28T17:50:14Z,82511,2h40m32s
537009555,[EN] Late Game - The International 9 - Main Event Day 6,2020-01-16T20:03:30Z,14252,3m1s
472156217,[EN] Late Game - The International 2019 - Main Event Day 6,2019-08-25T14:48:11Z,11366,44m41s
472129369,[EN] The International 2019 Main Event Day 6,2019-08-25T13:25:17Z,18625,9h53m56s
472128523,[EN] OG vs Liquid BO5 - The International 2019 Main Event Day 6,2019-08-25T13:22:29Z,12574,4h46m18s
472119419,[EN] OG vs Liquid BO5 - The International 2019 Main Event Day 6,2019-08-25T12:53:06Z,69812,1h33m19s
472058717,[EN] PSG.LGD vs Liquid BO3 - The International 2019 Main Event Day 6,2019-08-25T08:16:06Z,4906,4h11m50s
471938845,[EN] Late Game - The International 9 - Main Event Day 5,2019-08-25T01:12:15Z,209283,11h40m33s
471935579,[EN] Late Game - The International 9 - Main Event Day 5,2019-08-25T01:04:15Z,819,49m2s
471933454,[EN] The International 2019 Main Event Day 5,2019-08-25T00:59:50Z,3781,9h9m18s
471616828,[EN] Late Game - The International 9 - Main Event Day 5,2019-08-24T10:43:25Z,28530,1h14m57s
471612069,[EN] Liquid vs Secret BO3 - The International 2019 Main Event,2019-08-24T10:20:25Z,7477,1h52m45s
471588318,[EN] Cosplay Contest - The International 2019 Main Event,2019-08-24T08:18:04Z,1609,8m34s
471584355,[EN] PSG.LGD vs OG BO3 - The International 2019 Main Event,2019-08-24T07:57:52Z,10749,3h24m17s
471527556,[EN] Vici vs Secret BO3 - The International 2019 Main Event,2019-08-24T03:59:23Z,1395,1h35m33s
471495982,[EN] The International 2019 Main Event Day 4,2019-08-24T02:34:55Z,3000,9h58m38s
471473801,[EN] Radiant vs Dire - The International 2019 Main Event - All star,2019-08-24T01:41:28Z,454,49m49s
471464454,[EN] Vici vs Secret BO3 - The International 2019 Main Event,2019-08-24T01:18:21Z,182685,9h24m54s
471459817,[EN] Late Game - The International 9 - Main Event Day 4,2019-08-24T01:07:07Z,321,46m40s
471154037,[EN] Radiant vs Dire - The International 2019 Main Event - All star,2019-08-23T11:44:54Z,4962,7h16m34s
471150279,[EN] Radiant vs Dire - The International 2019 Main Event - All star,2019-08-23T11:28:22Z,14574,1h18m43s
471148737,[EN] EG vs Liquid BO3 - The International 2019 Main Event,2019-08-23T11:21:28Z,5069,2h3m24s
471112936,[EN] Infamous vs Secret BO3 - The International 2019 Main Event,2019-08-23T08:08:05Z,1822,2h21m41s
471093884,[EN] Late Game - The International 9 - Main Event Day 3,2019-08-23T06:17:00Z,394,43m38s
471080116,[EN] RNG vs Liquid BO3 - The International 2019 Main Event,2019-08-23T05:09:04Z,1596,2h41m52s
470996714,[EN] The International 2019 Main Event Day 3 Rerun,2019-08-23T01:04:36Z,506620,10h23m38s
470775742,[EN] The International 2019 Main Event Day 3,2019-08-22T16:07:55Z,6430,14h25m45s
470771684,[EN] OG vs EG BO3 - The International 2019 Main Event,2019-08-22T15:57:25Z,8325,3h25m9s
470771305,[EN] OG vs EG BO3 - The International 2019 Main Event,2019-08-22T15:56:20Z,8334,1h5m24s
470732668,[EN] Arcana Vote - The International 2019 Main Event,2019-08-22T13:52:38Z,793,2m36s
470711855,[EN] PSG.LGD vs VG BO3 - The International 2019 Main Event,2019-08-22T12:37:49Z,989,2h34m4s
470674797,[EN] Secret vs Mineski BO3 - The International 2019 Main Event,2019-08-22T09:45:18Z,2102,3h57m59s
470652100,[EN] Newbee vs Infamous BO3 - The International 2019 Main Event,2019-08-22T07:28:38Z,1250,3h29m28s
470558850,The International 2019 Main Event,2019-08-22T01:30:07Z,294486,14h26m2s
470327867,Late Game - The International 2019 - Main Event Day 2,2019-08-21T16:25:17Z,917,43m15s
470288830,[EN] The International 2019 Main Event - Day 2,2019-08-21T14:40:15Z,180227,12h14m39s
470287247,[EN] TNC vs Liquid BO3 - The International 2019 Main Event,2019-08-21T14:35:18Z,2237,2h39m36s
470275965,[EN] TNC vs Liquid BO3 - The International 2019 Main Event,2019-08-21T14:00:15Z,14802,1h8m42s
470235555,[EN] VP vs RNG BO3 - The International 2019 Main Event,2019-08-21T11:28:29Z,5607,2h6m34s
470209692,Film Contest - The International 2019 Main Event,2019-08-21T09:10:09Z,381,5m34s
470209086,[EN] Secret vs EG BO3 - The International 2019 Main Event,2019-08-21T09:06:27Z,3954,4h25m50s
470183544,[EN] The International 2019 Main Event - Day 1,2019-08-21T06:32:51Z,1872,14h10m8s
470170332,Late Game,2019-08-21T05:21:26Z,227,1h4m44s
470167758,[EN] OG vs Newbee BO3 - The International 2019 Main Event,2019-08-21T05:08:48Z,1642,2h21m14s
470160325,[EN] The International 2019 Main Event Opening Ceremony,2019-08-21T04:36:52Z,229,20m16s
470103939,[EN] OG vs Newbee BO3 - The International 2019 Main Event,2019-08-21T01:42:42Z,141275,12h17m26s
469865518,[EN] Mineski vs Na'Vi BO1 - The International 2019 Main Event,2019-08-20T16:13:27Z,18469,1h21m37s
469860227,[EN] Mineski vs Na'Vi BO1 - The International 2019 Main Event,2019-08-20T16:00:02Z,2150,1h14m29s
469831571,[EN] Infamous vs Keen BO1 - The International 2019 Main Event,2019-08-20T14:32:16Z,1611,50m11s
469808261,[EN] Fnatic vs Liquid BO1 - The International 2019 Main Event,2019-08-20T13:14:43Z,2574,1h2m13s
469782440,[EN] Alliance vs RNG BO1 - The International 2019 Main Event,2019-08-20T11:34:49Z,1666,1h11m27s
469762762,[EN] VG vs TNC BO3 - The International 2019 Main Event,2019-08-20T09:58:40Z,1715,4h7m7s
469714953,[EN] PSG.LGD vs VP BO3 - The International 2019 Main Event,2019-08-20T05:16:12Z,1867,2h11m47s
469644819,[EN] The International 2019 Main Event,2019-08-20T01:31:51Z,190982,14h41m27s
468713567,[EN] The International 2019 Multicast_Day 3,2019-08-18T00:44:08Z,142205,8h0m44s
468245052,[EN] The International 2019 Multicast_Day 3,2019-08-17T00:46:46Z,135397,13h19m9s
467795840,[EN] The International 2019 Group Stage Multicast_Day 2,2019-08-16T00:45:29Z,170584,13h0m5s
467338371,[EN] The International 2019 Multicast,2019-08-15T00:34:32Z,183220,14h52m25s
364423270,"[EN] True Sight Premiere - Copenhagen, DK",2019-01-15T18:45:18Z,38279,2h1m26s
363879726,"[EN] True Sight Premiere - Copenhagen, DK",2019-01-14T16:43:06Z,6377,55s
302389003,[EN] The International 2018 Main Event The Late Show Queen Elizabeth Theater,2018-08-27T04:19:08Z,9386,45m46s
302387594,[EN] The International 2018 The Late Game Show 21 aug,2018-08-27T04:12:26Z,1229,51m5s
302386960,[EN] The International 2018 The Late Game Show 25 aug,2018-08-27T04:09:50Z,669,47m32s
302386337,[EN] The International 2018 The Late Game Show 24 aug,2018-08-27T04:07:06Z,416,57m2s
302385810,[EN] The International 2018 The Late Game Show 22 aug,2018-08-27T04:04:55Z,310,47m48s
302384369,[EN]The International 2018 The Late Game Show 23 aug,2018-08-27T03:59:14Z,290,46m19s
302383732,[EN] The International 2018 The Late Game Show 20 aug,2018-08-27T03:56:22Z,515,52m12s
301966452,[EN] OG vs PSG.LGD BO5 - The International 2018 Main Event,2018-08-26T03:54:35Z,82296,51m0s
301966258,[EN] OG vs PSG.LGD BO5 - The International 2018 Main Event,2018-08-26T03:53:56Z,69841,23s
301715415,[EN] The International 2018 Main Event,2018-08-25T15:59:57Z,522779,11h53m44s
301543871,[EN] The International 2018 Main Event,2018-08-25T03:24:40Z,19443,57m7s
301430426,[EN] The International 2018 Main Event Cosplay,2018-08-24T22:03:48Z,9444,9m59s
